"No.","Time","Source","Destination","Length","Info","tcp_dstport","tcp_srcport","udp_dstport","udp_srcport","Protocol","sport","dport"
"7495","96.145909000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"7496","96.151008000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7497","96.166596000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"7498","96.169256000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7499","96.174443000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7500","96.190282000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7501","96.209037000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7502","96.229647000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7503","96.250617000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7504","96.270748000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7505","96.274623000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7506","96.288827000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7507","96.309371000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7508","96.330564000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7509","96.330845000","128.119.247.197","173.194.207.127","88","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7510","96.334882000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7511","96.350776000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7512","96.354400000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7513","96.368846000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7514","96.374334000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7515","96.388886000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7516","96.394474000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7517","96.409568000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7518","96.414457000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7519","96.430162000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7520","96.434703000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7521","96.450732000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7522","96.454980000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7524","96.470963000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7525","96.488742000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7526","96.499295000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7527","96.508612000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7528","96.529475000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7529","96.548585000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7530","96.554051000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7531","96.569557000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7532","96.581119000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"7533","96.581349000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"7534","96.589253000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7535","96.610349000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7536","96.626091000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"7537","96.631032000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7538","96.646686000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"7539","96.650541000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7540","96.654267000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7542","96.669801000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7543","96.690605000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7544","96.708745000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7545","96.729867000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7546","96.750104000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7547","96.754548000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7548","96.770823000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7549","96.788446000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7550","96.809218000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7551","96.830917000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7552","96.848594000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7553","96.854119000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7554","96.869103000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7555","96.889747000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7556","96.909761000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7557","96.930072000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7558","96.949771000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7559","96.954835000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7560","96.970353000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7561","96.991399000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7562","97.008792000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7563","97.029130000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7564","97.049797000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7565","97.055850000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7566","97.071654000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7567","97.079177000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7568","97.088118000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7569","97.097199000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7570","97.106391000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"7571","97.109267000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7572","97.114482000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7573","97.126898000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"7574","97.130880000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7575","97.134311000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7576","97.149897000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7577","97.154729000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7579","97.169102000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7580","97.175277000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7581","97.190022000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7582","97.194192000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7583","97.209399000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7584","97.214359000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7585","97.230233000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7586","97.251705000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7587","97.254391000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7588","97.269532000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7589","97.274263000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7590","97.289875000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7591","97.294883000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7592","97.310505000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7593","97.314350000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7594","97.330035000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7595","97.334300000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7596","97.351616000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7597","97.355450000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7598","97.370413000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7599","97.391036000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7600","97.409024000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7601","97.429782000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7602","97.449637000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7603","97.454145000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7604","97.470087000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7605","97.489710000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7606","97.510788000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7607","97.514122000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7608","97.532916000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7609","97.534537000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7610","97.548990000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7611","97.557000000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7612","97.569453000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7613","97.574460000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7614","97.581249000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"7615","97.581441000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"7616","97.586546000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"7617","97.589067000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7618","97.595508000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7619","97.607156000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"7620","97.610445000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7621","97.614438000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7622","97.626421000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7623","97.630491000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7624","97.649242000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7625","97.668453000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7626","97.687725000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7627","97.709124000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7628","97.714516000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7629","97.729520000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7630","97.750860000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7631","97.770956000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7632","97.790496000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7633","97.808408000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7634","97.814555000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7635","97.828944000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7636","97.849548000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7637","97.870055000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7638","97.889644000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7639","97.894355000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7640","97.910555000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7641","97.914190000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7642","97.924905000","128.119.247.197","173.194.207.127","108","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7643","97.929851000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7644","97.934516000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7645","97.950494000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7646","97.954455000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7647","97.971143000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7648","97.974311000","173.194.207.127","128.119.247.197","232","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7649","97.989130000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7650","97.995194000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7652","98.009765000","173.194.207.127","128.119.247.197","88","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7653","98.010833000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7654","98.029393000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7655","98.049261000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7656","98.066897000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"7657","98.070891000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7658","98.087492000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"7659","98.091613000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7660","98.094381000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7661","98.109275000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7662","98.129868000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7663","98.150493000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7664","98.170567000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7665","98.188536000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7666","98.194649000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7667","98.209568000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7669","98.229818000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7670","98.249811000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7671","98.270678000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7672","98.290677000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7673","98.294192000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7674","98.310302000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7675","98.330677000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7676","98.350536000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7677","98.370537000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7678","98.389926000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7679","98.394276000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7680","98.409488000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7681","98.430964000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7682","98.449390000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7683","98.469146000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7684","98.491315000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7685","98.494691000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"7686","98.510959000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7687","98.529089000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7688","98.547766000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"7689","98.550973000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7690","98.568291000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"7691","98.569991000","128.119.247.197","173.194.207.127","157","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"7692","98.580733000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"7693","98.580985000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"7694","98.594624000","173.194.207.127","128.119.247.197","81","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
