ip.len,frame.time_epoch,,,
126,1429224235.68324,42.1109471723,,
227,1429224235.68327,42.1109471723,,
52,1429224235.68329,42.1109471723,,
352,1429224235.68384,42.1109471723,,
98,1429224235.68386,42.1109471723,,
52,1429224235.68456,42.1109471723,,
98,1429224235.68566,42.1109471723,,
181,1429224235.69521,42.1109471724,,
827,1429224235.69529,42.1109471724,,
98,1429224235.6953,42.1109471724,,
52,1429224235.69544,42.1109471724,,
98,1429224235.69874,42.1109471724,,
52,1429224235.70543,42.1109471725,,
,1429224235.7133,42.1109471726,,
52,1429224235.73277,42.1109471728,,
84,1429224235.73441,42.1109471729,,
96,1429224235.73507,42.1109471729,,
71,1429224235.7979,42.1109471736,,
84,1429224235.86552,42.1109471744,,
96,1429224235.88627,42.1109471746,,
71,1429224235.8875,42.1109471746,,
,1429224235.91334,42.1109471749,,
71,1429224235.97518,42.1109471756,,
253,1429224236.04759,42.1109471765,,
489,1429224236.04777,42.1109471765,,
52,1429224236.05451,42.1109471766,,
52,1429224236.05454,42.1109471766,,
71,1429224236.09646,42.110947177,,
181,1429224236.10222,42.1109471771,,
1183,1429224236.10236,42.1109471771,,
98,1429224236.10237,42.1109471771,,
52,1429224236.10246,42.1109471771,,
98,1429224236.10412,42.1109471771,,
52,1429224236.11083,42.1109471772,,
130,1429224236.12481,42.1109471774,,
131,1429224236.14724,42.1109471776,,
251,1429224236.165,42.1109471778,,
2888,1429224236.16515,42.1109471778,,
106,1429224236.16517,42.1109471778,,
229,1429224236.1653,42.1109471778,,
135,1429224236.16572,42.1109471778,,
52,1429224236.17177,42.1109471779,,
52,1429224236.17188,42.1109471779,,
52,1429224236.17212,42.1109471779,,
52,1429224236.17214,42.1109471779,,
134,1429224236.18786,42.1109471781,,
130,1429224236.20766,42.1109471783,,
140,1429224236.22656,42.1109471785,,
154,1429224236.24119,42.1109471787,,
316,1429224236.24122,42.1109471787,,
