Inter Packet Delay,Inter Packet Delay,Actual Frequency[%],Normal Frequency[%],z,,
0.000016,0.00002,0.3293172691,0.4494547964,-0.1270389219,,
0.000049,0.00002,0.3333333333,0.4494547964,-0.1270389219,,
0.000015,0.000021,0.3373493976,0.4494562963,-0.1270351319,,
0.001146,0.000022,0.3413654618,0.4494577961,-0.1270313418,,
0.007665,0.000023,0.3453815261,0.449459296,-0.1270275518,,
0.000029,0.000024,0.3493975904,0.4494607959,-0.1270237618,,
0.032479,0.000025,0.3534136546,0.4494622957,-0.1270199717,,
0.007774,0.000026,0.3574297189,0.4494637956,-0.1270161817,,
0.001069,0.000028,0.3614457831,0.4494667953,-0.1270086016,,
0.000032,0.000029,0.3654618474,0.4494682952,-0.1270048116,,
0.000037,0.000029,0.3694779116,0.4494682952,-0.1270048116,,
0.000017,0.000031,0.3734939759,0.4494712949,-0.1269972315,,
0.00012,0.000032,0.3775100402,0.4494727947,-0.1269934415,,
0.000013,0.000034,0.3815261044,0.4494757945,-0.1269858614,,
0.000112,0.000035,0.3855421687,0.4494772943,-0.1269820714,,
0.000012,0.000037,0.3895582329,0.4494802941,-0.1269744913,,
0.000109,0.000037,0.3935742972,0.4494802941,-0.1269744913,,
0.000013,0.000038,0.3975903614,0.4494817939,-0.1269707013,,
0.000111,0.000038,0.4016064257,0.4494817939,-0.1269707013,,
0.000013,0.00004,0.40562249,0.4494847937,-0.1269631212,,
0.00011,0.000043,0.4096385542,0.4494892933,-0.1269517511,,
0.000012,0.000044,0.4136546185,0.4494907931,-0.126947961,,
0.000111,0.000044,0.4176706827,0.4494907931,-0.126947961,,
0.000012,0.000045,0.421686747,0.449492293,-0.126944171,,
0.000112,0.000045,0.4257028112,0.449492293,-0.126944171,,
0.000013,0.000046,0.4297188755,0.4494937929,-0.126940381,,
0.000109,0.000046,0.4337349398,0.4494937929,-0.126940381,,
0.000013,0.000049,0.437751004,0.4494982925,-0.1269290109,,
0.006676,0.000049,0.4417670683,0.4494982925,-0.1269290109,,
0.000013,0.000049,0.4457831325,0.4494982925,-0.1269290109,,
0.000101,0.000049,0.4497991968,0.4494982925,-0.1269290109,,
0.000013,0.00005,0.453815261,0.4494997924,-0.1269252208,,
0.000104,0.000052,0.4578313253,0.4495027921,-0.1269176408,,
0.000013,0.000053,0.4618473896,0.449504292,-0.1269138507,,
0.000111,0.000054,0.4658634538,0.4495057919,-0.1269100607,,
0.000013,0.000055,0.4698795181,0.4495072918,-0.1269062707,,
0.000111,0.000059,0.4738955823,0.4495132913,-0.1268911105,,
0.000011,0.000068,0.4779116466,0.4495267902,-0.1268570002,,
0.000112,0.000069,0.4819277108,0.4495282901,-0.1268532102,,
0.000012,0.000071,0.4859437751,0.4495312899,-0.1268456301,,
0.000111,0.000074,0.4899598394,0.4495357896,-0.12683426,,
0.000011,0.000081,0.4939759036,0.4495462888,-0.1268077297,,
0.000112,0.000101,0.4979919679,0.4495762869,-0.126731929,,
0.000012,0.000104,0.5020080321,0.4495807867,-0.1267205589,,
0.000112,0.000106,0.5060240964,0.4495837865,-0.1267129788,,
0.000011,0.000108,0.5100401606,0.4495867863,-0.1267053988,,
0.000111,0.000108,0.5140562249,0.4495867863,-0.1267053988,,
0.000012,0.000109,0.5180722892,0.4495882863,-0.1267016087,,
0.000111,0.000109,0.5220883534,0.4495882863,-0.1267016087,,
0.000013,0.000109,0.5261044177,0.4495882863,-0.1267016087,,
0.000108,0.00011,0.5301204819,0.4495897862,-0.1266978187,,
0.000012,0.00011,0.5341365462,0.4495897862,-0.1266978187,,
0.000114,0.00011,0.5381526104,0.4495897862,-0.1266978187,,
0.000012,0.00011,0.5421686747,0.4495897862,-0.1266978187,,
0.00011,0.00011,0.546184739,0.4495897862,-0.1266978187,,
0.000012,0.00011,0.5502008032,0.4495897862,-0.1266978187,,
0.000111,0.00011,0.5542168675,0.4495897862,-0.1266978187,,
0.000013,0.00011,0.5582329317,0.4495897862,-0.1266978187,,
0.00011,0.00011,0.562248996,0.4495897862,-0.1266978187,,
0.000012,0.000111,0.5662650602,0.4495912861,-0.1266940287,,
0.000111,0.000111,0.5702811245,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.5742971888,0.4495912861,-0.1266940287,,
0.000111,0.000111,0.578313253,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.5823293173,0.4495912861,-0.1266940287,,
0.000111,0.000111,0.5863453815,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.5903614458,0.4495912861,-0.1266940287,,
0.000112,0.000111,0.59437751,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.5983935743,0.4495912861,-0.1266940287,,
0.00547,0.000111,0.6024096386,0.4495912861,-0.1266940287,,
0.000031,0.000111,0.6064257028,0.4495912861,-0.1266940287,,
0.000028,0.000111,0.6104417671,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.6144578313,0.4495912861,-0.1266940287,,
0.000134,0.000111,0.6184738956,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.6224899598,0.4495912861,-0.1266940287,,
0.000112,0.000111,0.6265060241,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.6305220884,0.4495912861,-0.1266940287,,
0.00011,0.000111,0.6345381526,0.4495912861,-0.1266940287,,
0.000012,0.000111,0.6385542169,0.4495912861,-0.1266940287,,
0.000112,0.000112,0.6425702811,0.449592786,-0.1266902386,,
0.000012,0.000112,0.6465863454,0.449592786,-0.1266902386,,
0.00011,0.000112,0.6506024096,0.449592786,-0.1266902386,,
0.000012,0.000112,0.6546184739,0.449592786,-0.1266902386,,
0.000111,0.000112,0.6586345382,0.449592786,-0.1266902386,,
0.000012,0.000112,0.6626506024,0.449592786,-0.1266902386,,
0.000111,0.000112,0.6666666667,0.449592786,-0.1266902386,,
0.000012,0.000112,0.6706827309,0.449592786,-0.1266902386,,
0.000111,0.000112,0.6746987952,0.449592786,-0.1266902386,,
0.000012,0.000112,0.6787148594,0.449592786,-0.1266902386,,
0.000112,0.000112,0.6827309237,0.449592786,-0.1266902386,,
0.000012,0.000112,0.686746988,0.449592786,-0.1266902386,,
0.00011,0.000112,0.6907630522,0.449592786,-0.1266902386,,
0.000011,0.000113,0.6947791165,0.4495942859,-0.1266864486,,
0.000112,0.000114,0.6987951807,0.4495957859,-0.1266826585,,
0.000012,0.000114,0.702811245,0.4495957859,-0.1266826585,,
0.000111,0.000115,0.7068273092,0.4495972858,-0.1266788685,,
0.000011,0.000115,0.7108433735,0.4495972858,-0.1266788685,,
0.000112,0.00012,0.7148594378,0.4496047854,-0.1266599183,,
0.000012,0.000125,0.718875502,0.449612285,-0.1266409682,,
0.000111,0.000134,0.7228915663,0.4496257844,-0.1266068578,,
0.000012,0.000136,0.7269076305,0.4496287843,-0.1265992778,,
0.000114,0.000146,0.7309236948,0.4496437837,-0.1265613774,,
0.000012,0.000148,0.734939759,0.4496467836,-0.1265537973,,
0.000109,0.000158,0.7389558233,0.4496617831,-0.126515897,,
0.000012,0.000163,0.7429718876,0.4496692829,-0.1264969468,,
0.000113,0.000163,0.7469879518,0.4496692829,-0.1264969468,,
0.000012,0.000182,0.7510040161,0.4496977822,-0.1264249361,,
0.187553,0.000195,0.7550200803,0.4497172818,-0.1263756657,,
0.007444,0.000225,0.7590361446,0.4497622816,-0.1262619646,,
0.000045,0.000264,0.7630522088,0.4498207821,-0.1261141532,,
0.020758,0.000387,0.7670682731,0.4500052911,-0.1256479788,,
0.006717,0.000489,0.7710843373,0.4501583068,-0.1252613952,,
